;length;word_count;has_script;has_on_event;has_alert;has_prompt;has_confirm;has_console;has_javascript;has_vbscript;has_document;has_window;has_inner_html;has_outer_html;has_iframe;has_svg;has_dangerous_js;quote_count;equals_count;sum_count;has_url_encoding;has_html_entities;has_hex_encoding;has_unicode;tag_count;attribute_count;entropy;is_inside_quotes;has_nested_tags
7904;49;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;2;3;4.323195302989815;0;0
7905;916;145;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;12;5;0;0;1;0;0;9;5;4.6605410556242095;1;0
7906;91;13;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;4;2;4.61952767402521;1;0
7907;48;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;1;4.193902085446844;0;0
7908;51;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;3.147053037668139;0;0
7909;53;7;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.220068625112376;0;0
7910;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.584962500721156;0;0
7911;1343;184;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;44;22;0;0;1;0;0;25;22;4.91056268207107;1;0
7912;54;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;3;4.494904168509623;0;0
7913;107;15;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;4;2;0;0;0;0;0;5;2;4.6329590811472805;1;0
